Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,COR,127160,Solea solea,70,F,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,70,M,-9,6,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,80,F,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,80,M,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,90,F,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,90,M,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,110,F,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,110,M,-9,0,2,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,120,F,-9,0,6,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,120,M,-9,0,8,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,130,F,-9,0,8,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,130,M,-9,0,14,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,140,F,-9,0,28,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,140,M,-9,0,18,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,150,F,-9,0,30,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,150,M,-9,0,22,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,160,F,-9,0,38,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,160,M,-9,0,48,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,170,F,-9,0,28,4,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,170,M,-9,0,42,8,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,180,F,-9,0,34,8,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,180,M,-9,0,40,12,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,190,F,-9,0,24,32,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,190,M,-9,0,18,32,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,200,F,-9,0,14,28,0,0,2,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,200,M,-9,0,10,50,0,2,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,210,F,-9,0,8,44,2,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,210,M,-9,0,6,46,6,6,2,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,220,F,-9,0,6,56,2,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,220,M,-9,0,2,78,4,8,4,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,230,F,-9,0,0,76,2,0,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,230,M,-9,0,0,68,6,8,4,0,2,0,0,0
BTS,2003,3,COR,127160,Solea solea,240,F,-9,0,0,98,4,2,0,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,240,M,-9,0,0,56,20,10,6,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,250,F,-9,0,0,94,10,0,2,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,250,M,-9,0,0,46,26,12,4,0,4,0,2,0
BTS,2003,3,COR,127160,Solea solea,260,F,-9,0,0,74,6,4,4,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,260,M,-9,0,0,22,14,12,4,0,8,2,0,2
BTS,2003,3,COR,127160,Solea solea,270,F,-9,0,0,64,14,8,6,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,270,M,-9,0,0,8,10,12,16,0,2,2,2,0
BTS,2003,3,COR,127160,Solea solea,280,F,-9,0,0,30,30,10,10,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,280,M,-9,0,0,2,6,10,10,0,12,2,0,0
BTS,2003,3,COR,127160,Solea solea,290,F,-9,0,0,6,24,14,10,0,2,0,0,0
BTS,2003,3,COR,127160,Solea solea,290,M,-9,0,0,0,6,6,8,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,300,F,-9,0,0,4,12,16,8,2,4,0,0,0
BTS,2003,3,COR,127160,Solea solea,300,M,-9,0,0,0,4,8,2,2,0,2,0,0
BTS,2003,3,COR,127160,Solea solea,310,F,-9,0,0,2,12,26,4,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,310,M,-9,0,0,0,0,0,0,2,0,2,0,0
BTS,2003,3,COR,127160,Solea solea,320,F,-9,0,0,0,6,16,6,0,4,0,0,0
BTS,2003,3,COR,127160,Solea solea,320,M,-9,0,0,0,0,0,4,2,2,0,0,0
BTS,2003,3,COR,127160,Solea solea,330,F,-9,0,0,0,4,12,8,0,2,4,0,0
BTS,2003,3,COR,127160,Solea solea,330,M,-9,0,0,0,0,0,0,0,2,0,0,2
BTS,2003,3,COR,127160,Solea solea,340,F,-9,0,0,0,4,6,6,2,6,0,0,2
BTS,2003,3,COR,127160,Solea solea,350,F,-9,0,0,2,0,0,2,0,2,2,0,0
BTS,2003,3,COR,127160,Solea solea,360,F,-9,0,0,0,0,2,8,2,0,0,2,2
BTS,2003,3,COR,127160,Solea solea,360,M,-9,0,0,0,0,0,2,0,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,370,F,-9,0,0,0,0,0,2,4,0,0,0,0
BTS,2003,3,COR,127160,Solea solea,380,F,-9,0,0,0,0,0,2,2,4,2,0,0
BTS,2003,3,COR,127160,Solea solea,390,F,-9,0,0,0,0,0,0,0,2,2,0,2
